2019-11-22T12:05:03.181403	+020.0C
2019-11-22T12:05:13.091610	+020.1C
2019-11-22T12:05:23.002820	+020.2C
2019-11-22T12:05:32.913574	+020.2C
2019-11-22T12:05:42.824034	+020.3C
2019-11-22T12:05:52.735272	+020.3C
2019-11-22T12:06:02.646048	+020.4C
2019-11-22T12:06:12.557032	+020.4C
2019-11-22T12:06:22.467712	+020.5C
2019-11-22T12:06:32.379155	+020.5C
2019-11-22T12:06:42.290522	+020.6C
2019-11-22T12:06:52.201760	+020.6C
2019-11-22T12:07:02.113128	+020.7C
2019-11-22T12:07:12.024066	+020.7C
2019-11-22T12:07:21.934811	+020.9C
2019-11-22T12:07:31.846164	+021.0C
2019-11-22T12:07:41.757154	+021.1C
2019-11-22T12:07:51.668028	+021.1C
2019-11-22T12:08:01.579237	+021.2C
2019-11-22T12:08:11.489863	+021.2C
2019-11-22T12:08:21.400599	+021.3C
2019-11-22T12:08:31.311184	+021.3C
2019-11-22T12:08:41.221428	+021.3C
2019-11-22T12:08:51.132172	+021.4C
2019-11-22T12:09:01.042995	+021.4C
2019-11-22T12:09:10.953744	+021.4C
2019-11-22T12:09:20.864655	+022.4C
2019-11-22T12:09:30.775283	+025.7C
2019-11-22T12:09:40.685827	+027.6C
2019-11-22T12:09:50.596690	+028.7C
2019-11-22T12:10:00.507299	+029.7C
2019-11-22T12:10:10.418054	+030.5C
2019-11-22T12:10:20.328669	+031.1C
2019-11-22T12:10:30.239433	+031.5C
2019-11-22T12:10:40.150395	+031.9C
2019-11-22T12:10:50.060823	+032.3C
2019-11-22T12:10:59.971427	+032.6C
2019-11-22T12:11:09.882305	+032.8C
2019-11-22T12:11:19.792615	+033.0C
2019-11-22T12:11:29.703266	+033.2C
2019-11-22T12:11:39.613664	+033.4C
2019-11-22T12:11:49.524718	+033.5C
2019-11-22T12:11:59.435550	+033.6C
2019-11-22T12:12:09.346518	+033.7C
2019-11-22T12:12:19.257440	+033.8C
2019-11-22T12:12:29.168329	+033.9C
2019-11-22T12:12:39.078973	+034.0C
2019-11-22T12:12:48.989788	+034.1C
2019-11-22T12:12:58.900160	+034.1C
2019-11-22T12:13:08.810285	+034.2C
2019-11-22T12:13:18.720018	+034.3C
2019-11-22T12:13:28.630066	+034.3C
2019-11-22T12:13:38.539285	+034.4C
2019-11-22T12:13:48.449415	+034.4C
2019-11-22T12:13:58.359382	+034.4C
2019-11-22T12:14:08.268680	+034.5C
2019-11-22T12:14:18.178775	+034.5C
2019-11-22T12:14:28.088285	+034.6C
2019-11-22T12:14:37.998120	+034.6C
2019-11-22T12:14:47.907548	+034.6C
2019-11-22T12:14:57.817452	+033.7C
2019-11-22T12:15:07.727749	+032.6C
2019-11-22T12:15:17.637401	+031.8C
2019-11-22T12:15:27.546828	+030.9C
2019-11-22T12:15:37.456698	+030.1C
2019-11-22T12:15:47.366690	+029.4C
2019-11-22T12:15:57.276821	+028.8C
2019-11-22T12:16:07.186638	+028.3C
2019-11-22T12:16:17.096820	+027.7C
2019-11-22T12:16:27.006716	+027.3C
2019-11-22T12:16:36.916401	+026.9C
2019-11-22T12:16:46.826028	+026.5C
2019-11-22T12:16:56.735403	+026.1C
2019-11-22T12:17:06.645167	+025.7C
2019-11-22T12:17:16.554662	+025.4C
2019-11-22T12:17:26.463660	+025.1C
2019-11-22T12:17:36.373487	+024.9C
